SKU,Description,Warehouse,Wire,Trailer,FN_Assy,Final Station,PDI,QC,Ship,ETO,Bat,Last Modified
SDG13S-U,"SDG150S-8E1 SURGE TRAILER 2"" BALL HITCH ASSEMBLY",5.0,0.0,180.0,45.0,Final,30.0,30.0,30.0,0,0.0,
SDG150-001,"SDG150S-8E1 ELECTRIC TRAILER 2"" BALL HITCH ASSEMBLY",5.0,0.0,210.0,45.0,Final,30.0,30.0,30.0,0,0.0,
SDG150-002,"SDG150S-8E1 SURGE TRAILER 2-5/16"" BALL HITCH ASSEMBLY",5.0,0.0,180.0,45.0,Final,30.0,30.0,30.0,0,0.0,
SDG150-003,"SDG150S-8E1 ELECTRIC TRAILER 2-5/16"" BALL HITCH ASSEMBLY",5.0,0.0,210.0,45.0,Final,30.0,30.0,30.0,0,0.0,
SDG150-004,"SDG150S-8E1 SURGE TRAILER 3"" RING HITCH ASSEMBLY",5.0,0.0,180.0,45.0,Final,30.0,30.0,30.0,0,0.0,
SDG150-005,"SDG150S-8E1 ELECTRIC TRAILER 3"" RING HITCH ASSEMBLY",10.0,0.0,210.0,25.0,Final,30.0,30.0,30.0,0,0.0,2026-05-27
SDG150-006,"SDG220S-8E1 ELECTRIC TRAILER 2"" BALL HITCH ASSEMBLY",5.0,0.0,240.0,45.0,Final,30.0,30.0,30.0,0,0.0,
SDG220-001,"SDG220S-8E1 ELECTRIC TRAILER 2-5/16"" BALL HITCH ASSEMBLY",5.0,0.0,240.0,45.0,Final,30.0,30.0,30.0,0,0.0,
SDG220-002,"SDG220S-8E1 ELECTRIC TRAILER 3"" RING HITCH ASSEMBLY",5.0,0.0,240.0,45.0,Final,30.0,30.0,30.0,0,0.0,
SDG220-003,"SDG220S-8E1 SB ELECTRIC TRAILER 3"" RING HITCH ASSEMBLY",5.0,0.0,240.0,15.0,Final,30.0,30.0,30.0,0,0.0,2026-05-27
SDG220-004,"SDG25S-8E1 TRAILER 2"" BALL HITCH ASSEMBLY",5.0,0.0,45.0,45.0,Final,30.0,30.0,30.0,0,0.0,
SDG25-001,"SDG25S-8E1 TRAILER 2-5/16"" BALL HITCH ASSEMBLY",10.0,0.0,105.0,25.0,Final,30.0,30.0,30.0,0,0.0,2026-05-27
SDG25-002,"SDG25S-8E1 TRAILER 3"" RING HITCH ASSEMBLY",5.0,0.0,45.0,45.0,Final,30.0,30.0,30.0,0,0.0,
SDG25-003,"SDG25SV-8E1 TRAILER 2"" BALL HITCH ASSEMBLY",10.0,0.0,105.0,25.0,Final,30.0,30.0,30.0,0,0.0,2026-05-27
SDG25V-001,"SDG25SV-8E1 TRAILER 2-5/16"" BALL HITCH ASSEMBLY",5.0,0.0,45.0,45.0,Final,30.0,30.0,30.0,0,0.0,
SDG25V-002,"SDG25SV-8E1 TRAILER 3"" RING HITCH ASSEMBLY",5.0,0.0,45.0,45.0,Final,30.0,30.0,30.0,0,0.0,
SDG400-001,"SDG40S-8E1 SINGLE AXLE SURGE TRAILER 2"" BALL HITCH ASSEMBLY",5.0,0.0,60.0,15.0,Final,30.0,30.0,30.0,0,0.0,2026-05-27
SDG40-001,"SDG40S-8E1 SINGLE AXLE ELECTRIC TRAILER 2"" BALL HITCH ASSEMBLY",5.0,0.0,90.0,45.0,Final,30.0,30.0,30.0,0,0.0,
SDG40-002,"SDG40S-8E1 SURGE DUAL AXLE SURGE TRAILER 2"" BALL HITCH ASSEMBLY",5.0,0.0,90.0,45.0,Final,30.0,30.0,30.0,0,0.0,
SDG40-003,"SDG40S-8E1 ELECTRIC DUAL AXLE SURGE TRAILER 2"" BALL HITCH ASSEMBLY",5.0,0.0,120.0,45.0,Final,30.0,30.0,30.0,0,0.0,
SDG40-004,"SDG40S-8E1 SINGLE AXLE SURGE TRAILER 2-5/16"" BALL HITCH ASSEMBLY",5.0,0.0,60.0,45.0,Final,30.0,30.0,30.0,0,0.0,
SDG40-005,"SDG40S-8E1 SINGLE AXLE ELECTRIC TRAILER 2-5/16"" BALL HITCH ASSEMBLY",5.0,0.0,90.0,45.0,Final,30.0,30.0,30.0,0,0.0,
